Taxon (original name);Taxon (revised nomenclature);Family name;Pollen habit (code);Pollen habit (name);Plant habit
Zanthoxylum (Zanthoxyloides);Zanthoxylum-type zanthoxyloides;RUTACEAE;A;tree;Shrub or low-branching shrubby, very prickly tree to c. 12(-16) m tall
Zanthoxylum gilletii;Zanthoxylum-type gilletii;RUTACEAE;A;tree;deciduous tree 10-35 m high
Zanthoxylum usambarense-type;Zanthoxylum-type usambarense;RUTACEAE;A;tree;evergreen tree or shrub 2-15 m tall
Zanthoxylum* usambarense;Zanthoxylum-type usambarense;RUTACEAE;A;tree;evergreen tree or shrub 2-15 m tall
Zanthoxylum-type chalybeum;Zanthoxylum-type chalybeum;RUTACEAE;A;tree;deciduous shrub or tree 3-4 (-10) m high
Zanthoxylum-type usambarense;Zanthoxylum-type usambarense;RUTACEAE;A;tree;evergreen tree or shrub 2-15 m tall
Zanthoxylum-type zanthoxyloides;Zanthoxylum-type zanthoxyloides;RUTACEAE;A;tree;Shrub or low-branching shrubby, very prickly tree to c. 12(-16) m tall
Clausena/Bersama;Clausena/Bersama;RUTACEAE/MELIANTHACEAE;A;tree;trees and shrubs
Flacourtiaceae cf. Homalium;Homalium;SALICACEAE;A;tree;trees or shrubs
Populus;Populus;SALICACEAE;A;tree;trees or shrubs
Salix;Salix;SALICACEAE;A;tree;trees and shrubs
Salix cf. ledermanii;Salix ledermannii-type;SALICACEAE;A;tree;shrub
Salix cf. Salix chevalieri;Salix chevalieri-type;SALICACEAE;A;tree;shrub 9 m high
Salix ledermannii;Salix ledermannii-type;SALICACEAE;A;tree;shrub
Salix subserrata;Salix mucronata-type;SALICACEAE;A;tree;bush or small tree 2-10 m high
Azima;Azima tetracantha;SALVADORACEAE;A;tree;much-branched, evergreen shrub 0.6-3 m tall
Dobera;Dobera-type;SALVADORACEAE;A;tree;evergreen trees of shrubs
Dobera glabra-type;Dobera-type glabra;SALVADORACEAE;A;tree;evergreen shrub or tree up to 1.8-7.5 m tall
Dobera-type;Dobera-type;SALVADORACEAE;A;tree;evergreen trees of shrubs
Salvadora perisca;Salvadora persica-type;SALVADORACEAE;A;tree;evergreen shrub or small tree 3-7 m tall
Salvadoraceae;Salvadoraceae undiff.;SALVADORACEAE;A;tree;trees or shrubs
Blighia Type;Blighia;SAPINDACEAE;A;tree;trees or shrubs
BLIGHIA* UNIJUGATA;Blighia unijugata-type;SAPINDACEAE;A;tree;evergreen tree to 20 (-30) m tall
Blighia-type unijugata;Blighia unijugata-type;SAPINDACEAE;A;tree;evergreen tree to 20 (-30) m tall
Cf Deinbollia;Deinbollia-type;SAPINDACEAE;A;tree;trees or shrubs, often unbranched, with palm-like habit
Cf Pappea;Pappea capensis;SAPINDACEAE;A;tree;perennial-Tree, Shrub- Ht 1 - 13 m
Chiarinia;Lecaniodiscus-type;SAPINDACEAE;A;tree;trees and shrubs
Cliffortia nitida-type;Cliffortia nitidula-type;ROSACEAE;A;tree;much branched shrub 4-5 m high
Cliffortia nitidula-type;Cliffortia nitidula-type;ROSACEAE;A;tree;much branched shrub 4-5 m high
HAGENIA;Hagenia abyssinica;ROSACEAE;A;tree;evergreen tree up to 20 m tall
Hagenia abyssinaca;Hagenia abyssinica;ROSACEAE;A;tree;evergreen tree up to 20 m tall
HAGENIA ABYSSINICA;Hagenia abyssinica;ROSACEAE;A;tree;evergreen tree up to 20 m tall
Prunus;Prunus;ROSACEAE;A;tree;trees or shrubs
Prunus africana;Prunus africana-type;ROSACEAE;A;tree;evergreen tree to 40 m tall
Prunus africana-type;Prunus africana-type;ROSACEAE;A;tree;evergreen tree to 40 m tall
Prunus cf.;Prunus;ROSACEAE;A;tree;trees or shrubs
Pygeum africanum;Prunus africana-type;ROSACEAE;A;tree;evergreen tree to 40 m tall
Pygeum type;Prunus;ROSACEAE;A;tree;trees or shrubs
Rosa;Rosa;ROSACEAE;A;tree;erect or climbing shrubs
Rosaceae Hagenia;Hagenia abyssinica;ROSACEAE;A;tree;evergreen tree up to 20 m tall
(Rubeacea)Canthium subcordatum;Psydrax-type subcordata;RUBIACEAE;A;tree;small medium-size tree about 9 m or up to 25 m high
Adina sp.;Fleroya-type;RUBIACEAE;A;tree;small to large trees
Aidia type;Aidia-type;RUBIACEAE;A;tree;shrubs, small trees or rarely (1 sp.) epiphytes
Aidia-type;Aidia-type;RUBIACEAE;A;tree;shrubs, small trees or rarely (1 sp.) epiphytes
Aidia-type rhacodosepala;Aidia-type rhacodosepala;RUBIACEAE;A;tree;shrub up to 5m high
Bertiera;Bertiera;RUBIACEAE;A;tree;small trees or shrubs, rarely lianas
Burchellia;Burchellia bubalina;RUBIACEAE;A;tree;shrub or small tree 8 m tall
Canthium  subcordatum;Psydrax-type subcordata;RUBIACEAE;A;tree;small medium-size tree about 9 m or up to 25 m high
Canthium subcordata;Psydrax-type subcordata;RUBIACEAE;A;tree;small medium-size tree about 9 m or up to 25 m high
Canthium subcordatum-type;Psydrax-type subcordata;RUBIACEAE;A;tree;small medium-size tree about 9 m or up to 25 m high
Carpacoce;Carpacoce;RUBIACEAE;A;tree;perennial-Dwarf shrub
Catunaregam-type nilotica;Catunaregam-type nilotica;RUBIACEAE;A;tree;shrub or low, several-stemmed tree up to 5 m tall
Caturanegam-type;Catunaregam-type;RUBIACEAE;A;tree;shrubs or many-stemmed small trees, armed with thorns
cf Coffea;Coffea;RUBIACEAE;A;tree;shrubs or small trees
Cf Galiniera;Galiniera saxifraga;RUBIACEAE;A;tree;evergreen shrub up to 4 m or sometimes small tree up to 10 m tall
Cf Tricalysia;Tricalysia;RUBIACEAE;A;tree;shrubs or small trees
cf. Nauclea;Nauclea-type;RUBIACEAE;A;tree;medium-sized to large trees
Chassalia kolly;Chassalia kolly-type;RUBIACEAE;A;tree;shrub 1-3 m tall
Coffea;Coffea;RUBIACEAE;A;tree;shrubs or small trees
Coffea canephora;Coffea canephora-type;RUBIACEAE;A;tree;tree or shrub 3.5-8.5 m tall
Coffea type;Coffea;RUBIACEAE;A;tree;shrubs or small trees
Coffea-type;Coffea;RUBIACEAE;A;tree;shrubs or small trees
Corynanthe;Corynanthe-type;RUBIACEAE;A;tree;trees
Corynanthe/Hallea/Hymenodictyon/Mitragyna inermis/Nauclea/Pausinystalia/Sarcocephalus/Uncaria;Corynanthe-type;RUBIACEAE;A;tree;trees
Corynanthe_Hallea_Hymenodictyon_Mitragyna inermis_Nauclea_Pausinystalia_Sarcocephalus_Uncaria;Corynanthe-type;RUBIACEAE;A;tree;trees
Craterispermum;Craterispermum;RUBIACEAE;A;tree;trees or shrubs
Craterispermum laurinum-type;Craterispermum laurinum-type;RUBIACEAE;A;tree;shrub or small tree 8 m high
Craterispermum schweinfurthii;Craterispermum schweinfurthii-type;RUBIACEAE;A;tree;shrub or small tree up to 15 m high
Craterispermum type;Craterispermum;RUBIACEAE;A;tree;trees or shrubs
Cremaspora;Cremaspora-type;RUBIACEAE;A;tree;shrubs, small trees, sometimes lianas
Crossopterix;Crossopteryx febrifuga;RUBIACEAE;A;tree;deciduous tree or shrub up to 15 m tall
Crossopterix febrifuga;Crossopteryx febrifuga;RUBIACEAE;A;tree;deciduous tree or shrub up to 15 m tall
Crossopteryx;Crossopteryx febrifuga;RUBIACEAE;A;tree;deciduous tree or shrub up to 15 m tall
CROSSOPTERYX;Crossopteryx febrifuga;RUBIACEAE;A;tree;deciduous tree or shrub up to 15 m tall
Crossopteryx febrifuga;Crossopteryx febrifuga;RUBIACEAE;A;tree;deciduous tree or shrub up to 15 m tall
Crossopteryx-type;Crossopteryx febrifuga;RUBIACEAE;A;tree;deciduous tree or shrub up to 15 m tall
Crossopteryx-type febrifuga;Crossopteryx febrifuga;RUBIACEAE;A;tree;deciduous tree or shrub up to 15 m tall
Cuviera;Cuviera;RUBIACEAE;A;tree;small trees or shrubs
Cuviera sp.;Cuviera;RUBIACEAE;A;tree;small trees or shrubs
Dictyandra;Leptactina;RUBIACEAE;A;tree;shrubs or small trees
Gaertenera paniculata;Gaertnera paniculata-type;RUBIACEAE;A;tree;shrub or tree 3-6 m high
Gaertnera;Gaertnera;RUBIACEAE;A;tree;shrubs or trees
GAERTNERA;Gaertnera;RUBIACEAE;A;tree;shrubs or trees
Gaertnera paniculata;Gaertnera paniculata-type;RUBIACEAE;A;tree;shrub or tree 3-6 m high
Gaertnera paniculata-type;Gaertnera paniculata-type;RUBIACEAE;A;tree;shrub or tree 3-6 m high
Gaertnera spp.;Gaertnera;RUBIACEAE;A;tree;shrubs or trees
Galinaria cofeoides;Galiniera saxifraga;RUBIACEAE;A;tree;evergreen shrub up to 4 m or sometimes small tree up to 10 m tall
Galiniera;Galiniera saxifraga;RUBIACEAE;A;tree;evergreen shrub up to 4 m or sometimes small tree up to 10 m tall
Galiniera cf coffeoides;Galiniera saxifraga;RUBIACEAE;A;tree;evergreen shrub up to 4 m or sometimes small tree up to 10 m tall
Hymenodictyon cf. floribundum;Hymenodictyon-type floribundum;RUBIACEAE;A;tree;shrub or small tree up to 6 m tall
Hymenodictyon floribundum;Hymenodictyon-type floribundum;RUBIACEAE;A;tree;shrub or small tree up to 6 m tall
Hymenodictyon-type floribundum;Hymenodictyon-type floribundum;RUBIACEAE;A;tree;shrub or small tree up to 6 m tall
Ixora;Ixora-type;RUBIACEAE;A;tree;shrubs or small trees
Ixora brachypoda;Tarenna-type grevei;RUBIACEAE;A;tree;shrub, 3-6 m high
Ixora sp.;Ixora-type;RUBIACEAE;A;tree;shrubs or small trees
Ixora-type;Ixora-type;RUBIACEAE;A;tree;shrubs or small trees
Ixora-type brachypoda;Tarenna-type grevei;RUBIACEAE;A;tree;shrub, 3-6 m high
Lasianthus;Lasianthus-type;RUBIACEAE;A;tree;subshrubs, shrubs, or rarely, small trees
Lasianthus-type;Lasianthus-type;RUBIACEAE;A;tree;subshrubs, shrubs, or rarely, small trees
Mitragyna;Mitragyna-type;RUBIACEAE;A;tree;shrub or low-branching tree 6-12 m high
Mitragyna ciliata;Fleroya-type ledermannii;RUBIACEAE;A;tree;tree 12-30 m high
Mitragyna inermis-type;Mitragyna-type inermis;RUBIACEAE;A;tree;shrub or low-branching tree 6-12 m high
Mitragyna stipulosa;Mitragyna-type stipulosa;RUBIACEAE;A;tree;large tree 6-42 m tall
Mitragyna type;Mitragyna-type inermis;RUBIACEAE;A;tree;shrub or low-branching tree 6-12 m high
Mitragyna-type inermis;Mitragyna-type inermis;RUBIACEAE;A;tree;shrub or low-branching tree 6-12 m high
Mitriostigma;Mitriostigma;RUBIACEAE;A;tree;small shrubs
Morelia senegalensis;Morelia senegalensis;RUBIACEAE;A;tree;evergreen shrub or tree up to 12 m high
Morinda;Morinda;RUBIACEAE;A;tree;trees or shrubs, less often lianes
Morinda lucida-type;Morinda lucida-type;RUBIACEAE;A;tree;tree or rarely shrub 2.4-18 m tall
Mytragyna;Mitragyna-type;RUBIACEAE;A;tree;shrub or low-branching tree 6-12 m high
Nauclea (type);Nauclea-type;RUBIACEAE;A;tree;medium-sized to large trees
Nauclea latifolia-type;Sarcocephalus-type latifolius;RUBIACEAE;A;tree;straggling shrub or small much branched tree up to 4 m tall
Nauclea type;Nauclea-type;RUBIACEAE;A;tree;medium-sized to large trees
Nauclea/Mitragyna;Nauclea/Mitragyna;RUBIACEAE;A;tree;shrubs or trees
Nauclea-type latifolia;Sarcocephalus-type latifolius;RUBIACEAE;A;tree;straggling shrub or small much branched tree up to 4 m tall
Naucluea latifolia;Sarcocephalus-type latifolius;RUBIACEAE;A;tree;straggling shrub or small much branched tree up to 4 m tall
Rutaceae: Teclea;Teclea-type;RUTACEAE;A;tree;unarmed shrubs or trees
Teclea cf nobilis;Vepris-type nobilis;RUTACEAE;A;tree;shrub or understory tree 2-12 m tall
Teclea cf. T. nobilis;Vepris-type nobilis;RUTACEAE;A;tree;shrub or understory tree 2-12 m tall
Teclea nobilis;Vepris-type nobilis;RUTACEAE;A;tree;shrub or understory tree 2-12 m tall
Teclea type;Teclea-type;RUTACEAE;A;tree;unarmed shrubs or trees
Salvadora persica-type;Salvadora persica-type;SALVADORACEAE;A;tree;evergreen shrub or small tree 3-7 m tall
Salvadrora persica;Salvadora persica-type;SALVADORACEAE;A;tree;evergreen shrub or small tree 3-7 m tall
type Salvadora/Nuxia;Salvadora/Nuxia;SALVADORACEAE/STILBACEAE;A;tree;trees or shrubs
cf. Osyris;Osyris;SANTALACEAE;A;tree;evergreen trees or shrubs
Osyris;Osyris;SANTALACEAE;A;tree;evergreen trees or shrubs
Osyris Type;Osyris;SANTALACEAE;A;tree;evergreen trees or shrubs
Allophyllus cf. nigericus;Allophylus nigericus-type;SAPINDACEAE;A;tree;Shrub 1-2 m tall
Allophylus abyssinicus-type;Allophylus abyssinicus-type;SAPINDACEAE;A;tree;evergreen tree to 15 (-25) m tall
Allophylus africanus-type;Allophylus africanus-type;SAPINDACEAE;A;tree;shrub or tree to 10 m high
Allophylus cf. abyssinicus;Allophylus abyssinicus-type;SAPINDACEAE;A;tree;evergreen tree to 15 (-25) m tall
Aphania senegalensis;Lepisanthes-type senegalensis;SAPINDACEAE;A;tree;evergreen tree to 16 m high
Aphania/Lecaniodiscus;Lepisanthes/Lecaniodiscus;SAPINDACEAE;A;tree;trees
Aporrhiza;Aporrhiza;SAPINDACEAE;A;tree;small to medium-sized trees
Aporrhiza-type;Aporrhiza;SAPINDACEAE;A;tree;small to medium-sized trees
Blighia;Blighia;SAPINDACEAE;A;tree;trees or shrubs
Blighia sapida;Blighia sapida-type;SAPINDACEAE;A;tree;evergreen tree 6-25 m high
Blighia sapida-type;Blighia sapida-type;SAPINDACEAE;A;tree;evergreen tree 6-25 m high
Blighia type;Blighia;SAPINDACEAE;A;tree;trees or shrubs
Blighia unijugata-type;Blighia unijugata-type;SAPINDACEAE;A;tree;evergreen tree to 20 (-30) m tall
Blighia-type;Blighia;SAPINDACEAE;A;tree;trees or shrubs
Blighlia;Blighia;SAPINDACEAE;A;tree;trees or shrubs
cf Dodonea viscosa;Dodonaea viscosa;SAPINDACEAE;A;tree;shrub
cf. Stadmania;Stadmania;SAPINDACEAE;A;tree;tree
Chouxia;Chouxia-type;SAPINDACEAE;A;tree;trees
Chytranthus macrobotrys;Chytranthus-type macrobotrys;SAPINDACEAE;A;tree;Tree, palm-shaped
Chytranthus-type angustifolius;Chytranthus-type angustifolius;SAPINDACEAE;A;tree;Tree (or undershrub) with simple fleshy trunk 3-8 m tall
Deinbollia;Deinbollia-type;SAPINDACEAE;A;tree;trees or shrubs, often unbranched, with palm-like habit
Deinbollia kilimandscharica-type;Deinbollia-type kilimandscharica;SAPINDACEAE;A;tree;evergreen slender unbranched tree to 6 m tall
Deinbollia-type;Deinbollia-type;SAPINDACEAE;A;tree;trees or shrubs, often unbranched, with palm-like habit
Dinocarpus;Dimocarpus longan;SAPINDACEAE;A;tree;small tree
Dodonae viscosa;Dodonaea viscosa;SAPINDACEAE;A;tree;shrub
Dodonaea;Dodonaea viscosa;SAPINDACEAE;A;tree;shrub
Dodonaea (Mauritius type 128, de Boer);Dodonaea;SAPINDACEAE;A;tree;trees or shrubs
Dodonaea (Mauritius type 167, de Boer);Dodonaea;SAPINDACEAE;A;tree;trees or shrubs
Dodonaea angustifolia;Dodonaea viscosa;SAPINDACEAE;A;tree;shrub
Dodonaea Type;Dodonaea;SAPINDACEAE;A;tree;trees or shrubs
Dodonaea type;Dodonaea;SAPINDACEAE;A;tree;trees or shrubs
Dodonaea viscosa;Dodonaea viscosa;SAPINDACEAE;A;tree;shrub
DODONAEA VISCOSA;Dodonaea viscosa;SAPINDACEAE;A;tree;shrub
Dodonaea viscosa s.lat;Dodonaea viscosa;SAPINDACEAE;A;tree;shrub
Dodonaea viscosa type;Dodonaea viscosa;SAPINDACEAE;A;tree;shrub
Dodonaea viscosa-type;Dodonaea viscosa;SAPINDACEAE;A;tree;shrub
Dodonaeae;Dodonaea viscosa;SAPINDACEAE;A;tree;shrub
Dodonea;Dodonaea viscosa;SAPINDACEAE;A;tree;shrub
Dodonea (cf);Dodonaea viscosa;SAPINDACEAE;A;tree;shrub
Dodonea (P3cp 13);Dodonaea viscosa;SAPINDACEAE;A;tree;shrub
Dodonea viscosa;Dodonaea viscosa;SAPINDACEAE;A;tree;shrub
Dodonea viscosa s.lat;Dodonaea viscosa;SAPINDACEAE;A;tree;shrub
Eriocoelum macrocarpum-type;Eriocoelum macrocarpum-type;SAPINDACEAE;A;tree;tree to 25 m high
Filicium;Filicium-type;SAPINDACEAE;A;tree;trees
Ganophyllum africanum;Ganophyllum-type giganteum;SAPINDACEAE;A;tree;tree 30-40 m tall
Ganophyllum giganteum;Ganophyllum-type giganteum;SAPINDACEAE;A;tree;tree 30-40 m tall
Ganophyllum-type giganteum;Ganophyllum-type giganteum;SAPINDACEAE;A;tree;tree 30-40 m tall
Haplocoelum;Haplocoelum;SAPINDACEAE;A;tree;trees or shrubs
Lecaniodiscua;Lecaniodiscus-type;SAPINDACEAE;A;tree;trees and shrubs
Lecaniodiscus cupanioides;Lecaniodiscus-type cupanioides;SAPINDACEAE;A;tree;small tree 12 m tall
Lecaniodiscus/Aphania senegalensis;Lecaniodiscus/Aphania;SAPINDACEAE;A;tree;trees and shrubs
Lecaniodiscus-type cupanioides;Lecaniodiscus-type cupanioides;SAPINDACEAE;A;tree;small tree 12 m tall
Lepisanthes cf;Lepisanthes-type senegalensis;SAPINDACEAE;A;tree;evergreen tree to 16 m high
Asteraceae, echinat;Asteraceae undiff.;ASTERACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent
Monocotyledone;Monocotyledoneae undiff.;MONOCOTYLEDONEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs, trees or lianes
Monocotyledoneae;Monocotyledoneae undiff.;MONOCOTYLEDONEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs, trees or lianes
Monocotyledoneae undiff.;Monocotyledoneae undiff.;MONOCOTYLEDONEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs, trees or lianes
Monocotylédones;Monocotyledoneae undiff.;MONOCOTYLEDONEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs, trees or lianes
LMP90;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
LMP98;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Maerva-type;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Marecage divers;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Mesems;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Monocolpate;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Monosulcate;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Not identified;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Other;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Other Aquatics;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Other NAP;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Other pollen types;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Other undifferentiated;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
P-2;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
P3c 3;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
P3cp 13;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
P3cp 17;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
P3cp 3;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
P3cp 8;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Periporate;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
sp020;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
sp022;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
SP1;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
sp150;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
sp153;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
SP2;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
SP4;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Spermatophyta (Mauritius type 100, de Boer);Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Spermatophyta (Mauritius type 168, de Boer);Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Spermatophyta (Mauritius type 202, de Boer);Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Spermatophyta (Mauritius type 213, de Boer);Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Spermatophyta (Mauritius type 43, de Boer);Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Spermatophyta (Mauritius type 75, de Boer);Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Spirosta;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Stephanocolporate;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Sterularia;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Striate pollen;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Syncolporites sp.;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
T-1;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Tetracolporate;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Tetrade, dünne Exine, 13µm;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Tetrade, dünne Exine, 20µm;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Tiracelli;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
total des autres taxons  AP (Nombre);Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Tragina;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Tretrade, dünne Exine, 20µm;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Tricolpate pollen;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Tricolporate;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
TricolporeA;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Triporate reticulate;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Typ 3C, echinat, 12µm;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Typ 3cp, psilat, 8µm;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Typ Extraordinär = Palme;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Typ inaperturat, bacculat, 50µm, hyalin;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
TYPE 1 (P3/RETICULATE/OBL);Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
TYPE 2 (MONOSUL/ECHI/ELYTIC);Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Type 341A aff.;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Type 4-5 colpat;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
TYPE 8 (C5P5/SCABER/PROL;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Type periporat 25µm;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
und1;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
und3;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Undeterminated (PU);Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
undetermined;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Undetermined Pollen;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Undiff.;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Undiff2;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Undiff4;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Undiff6;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Undiff8;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Unid;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Unid.Type 2;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Unidentified;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Unidentified general;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Unidentified_Tricolpate microreticulate;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
unk02;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
unk04;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
unk09;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Unknow pollen\^4;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Unknown;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
unknown;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Unknown (Helian);Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Unknown (Monocotyledonae?);Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Urticaceae Laportea 4P;Laportea-type;URTICACEAE;I;undifferentiated (tree, shrub, herb, liana..);branched annual or perennial herbs, or shrubs
Urticaceae sim;Urticaceae undiff.;URTICACEAE;I;undifferentiated (tree, shrub, herb, liana..);annual or perennial herbs, shrubs or lianas
Urticaceae undiff.;Urticaceae undiff.;URTICACEAE;I;undifferentiated (tree, shrub, herb, liana..);annual or perennial herbs, shrubs or lianas
Urticacées;Urticaceae undiff.;URTICACEAE;I;undifferentiated (tree, shrub, herb, liana..);annual or perennial herbs, shrubs or lianas
Urticales;Urticaceae undiff.;URTICACEAE;I;undifferentiated (tree, shrub, herb, liana..);annual or perennial herbs, shrubs or lianas
Urticaceae/Cannabicaceae;Urticaceae/Cannabaceae undiff.;URTICACEAE/CANNABACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs or lianes
Urticaceae/Moraceae undiff.;Urticaceae/Moraceae undiff.;URTICACEAE/MORACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs, trees or lianas
Xerophyta;Xerophyta;VELLOZIACEAE;I;undifferentiated (tree, shrub, herb, liana..);small to large herbs or soft-wooded shrubs
cf. Verbenacées?;Verbenaceae undiff.;VERBENACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs, trees or woody climbers, sometimes thorny
Lantana sp.;Lantana-type;VERBENACEAE;I;undifferentiated (tree, shrub, herb, liana..);erect, scandent herbs or shrubs
