Taxon (original name);Taxon (revised nomenclature);Family name;Pollen habit (code);Pollen habit (name);Plant habit
Trifolium;Trifolium-type;FABACEAE;N;herb;annual or perennial herbs
Trifolium cf. acaule;Trifolium-type acaule;FABACEAE;N;herb;small perennial rhizomatous herb
Trifolium sp.;Trifolium-type;FABACEAE;N;herb;annual or perennial herbs
Trifolium* acaule;Trifolium-type acaule;FABACEAE;N;herb;small perennial rhizomatous herb
Trifolium-type acaule;Trifolium-type acaule;FABACEAE;N;herb;small perennial rhizomatous herb
Zornia;Zornia;FABACEAE;N;herb;annual or perennial herbs
Frankenia;Frankenia;FRANKENIACEAE;N;herb;low undershrub
Fumariaceae;Fumariaceae undiff.;FUMARIACEAE;N;herb;herbs
Cf Sebaea;Sebaea;GENTIANACEAE;N;herb;annual herbs
Chironiae;Chironia-type;GENTIANACEAE;N;herb;Annual or perennial herbs, rarely suffrutescent.
Enicostema-type;Enicostema;GENTIANACEAE;N;herb;herbs
Lesianthus;Lisianthus;GENTIANACEAE;N;herb;herbs
Sebaea;Sebaea;GENTIANACEAE;N;herb;annual herbs
Sebaea type;Sebaea;GENTIANACEAE;N;herb;annual herbs
Sebea-type;Sebaea;GENTIANACEAE;N;herb;annual herbs
Swertia kilimandscharica;Swertia-type kilimandscharica;GENTIANACEAE;N;herb;erect herb, robust, 50-100 cm tall
Swertia usambarensis-type;Swertia-type usambarensis;GENTIANACEAE;N;herb;annual herb, 25-50 cm tall
Swertia-type kilimandscharica;Swertia-type kilimandscharica;GENTIANACEAE;N;herb;erect herb, robust, 50-100 cm tall
type Geosiris;Geosiris aphylla;GEOSIRIDACEAE;N;herb;small herb, often saprophyte
Geraniaceae Geranium;Geranium-type;GERANIACEAE;N;herb;annual or perennial herbs, rarely subshrubs, occasionally woody at base
Geranium;Geranium-type;GERANIACEAE;N;herb;annual or perennial herbs, rarely subshrubs, occasionally woody at base
Geranium sp.;Geranium-type;GERANIACEAE;N;herb;annual or perennial herbs, rarely subshrubs, occasionally woody at base
Monsonia;Monsonia;GERANIACEAE;N;herb;annual or perennial herbs
Monsonia heliotropioides-type;Monsonia heliotropioides-type;GERANIACEAE;N;herb;Perennial erect
Streptocarpus;Streptocarpus;GESNERIACEAE;N;herb;erect herb
Gunnera;Gunnera perpensa;GUNNERACEAE;N;herb;rhizomatous herb
Gunnera perpensa;Gunnera perpensa;GUNNERACEAE;N;herb;rhizomatous herb
Gunneraceae;Gunneraceae undiff.;GUNNERACEAE;N;herb;herbs
Halloragaceae;Halorrhagaceae undiff.;HALORRHAGACEAE;N;herb;aquatic or terrestrial herbs, or subshrubs
Hallorhagaceae;Halorrhagaceae undiff.;HALORRHAGACEAE;N;herb;aquatic or terrestrial herbs, or subshrubs
Haloragaceae;Halorrhagaceae undiff.;HALORRHAGACEAE;N;herb;aquatic or terrestrial herbs, or subshrubs
Haloragidaceae;Halorrhagaceae undiff.;HALORRHAGACEAE;N;herb;aquatic or terrestrial herbs, or subshrubs
Halorigidaceae;Halorrhagaceae undiff.;HALORRHAGACEAE;N;herb;aquatic or terrestrial herbs, or subshrubs
Halorrhagaceae undiff.;Halorrhagaceae undiff.;HALORRHAGACEAE;N;herb;aquatic or terrestrial herbs, or subshrubs
